Year,Agreement_Type,Source_URL,Main_Title,Issued by,Date of Issue,Decision number,Date of entry into force of collective agreement,Expiry date of collective agreement,Date of signature of collective agreement,General applicability,Employer side,Employee side,PDF_1,PDF_2,PDF_3,PDF_4,PDF_5,PDF_6,PDF_7,Comments
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/21,Lasikeraamisen teollisuuden sähköalan työntekijöiden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,20.8.2018,21/2018,3.4.2025,31.1.2028,3.4.2025,Työehtosopimus ei ole yleissitova,Lasikeraaminen teollisuus LT ry,Sähköalojen ammattiliitto ry,,,,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/22,Kenkä- ja nahkateollisuuden työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,20.8.2018,22/2018,1.3.2025,29.2.2028,12.3.2025,Työehtosopimus on yleissitova,"Kenkä- ja Nahkateollisuus ry, Kemianteollisuus ry",Teollisuusliitto ry,Kenknah2503.pdf,Kenknah2303.pdf,Kenknah2203.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/23,Medialiiton ja Teollisuusliiton välinen media- ja painoalan työntekijöitä koskeva työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,23/2018,1.3.2025,29.2.2028,14.3.2025,Työehtosopimus on yleissitova,Medialiitto ry,Teollisuusliitto ry,Mediapainoalatt2503.pdf,Mediapainoalatt2303.pdf,Mediapainoalatt2203.pdf,MediapainoalattPaivitetty2203.pdf,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/25,Ammattikorkeakoulujen opiskelijakuntien työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,25/2018,2.5.2025,31.1.2028,2.5.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Ylemmät Toimihenkilöt YTN ry,Ammattikor2505.pdf,Ammattikor2303.pdf,Ammattikor2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/27,Kollektivavtal för landsbygdsnäringarna,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,27/2018,1.2.2025,31.1.2028,3.3.2025,Kollektivavtalet är allmänt bindande,Landsbygdens Arbetsgivareförbund rf,Industrifacket rf,MaaseuRuotsi2502.pdf,MaaseuRuotsi2302.pdf,MaaseuRuotsi2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/29,Rautatiealan työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,29/2018,1.4.2025,31.3.2028,26.4.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Julkisten ja hyvinvointialojen liitto JHL ry,Rautatieala2504.pdf,RautatiealaKaupunkiraide2504.pdf,RautatiealaKaupunkiraide2303.pdf,Rautatieala2303.pdf,Rautatieala2203.pdf,RautatiealaKaupunkiraide2203.pdf,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/30,Seminologien ja keinosiemennysasemien työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,30/2018,28.3.2025,31.1.2028,28.3.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Maataloustoimihenkilöjärjestöjen Liitto MTJL ry,Semkei2503.pdf,Semkei2303.pdf,Semkei2203.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/31,Turkistuotantoalan työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,31/2018,1.2.2025,31.1.2028,3.3.2025,Työehtosopimus on yleissitova,Maaseudun Työnantajaliitto MTA ry,Teollisuusliitto ry,Turkistuot2502.pdf,Turkistuot2302.pdf,Turkistuot2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/32,Ylioppilaskuntien työehtosopimus,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,32/2018,2.5.2025,31.1.2028,2.5.2025,Työehtosopimus on yleissitova,Palvelualojen työnantajat PALTA ry,Ylemmät Toimihenkilöt YTN ry,Ylioppilas2505.pdf,Ylioppilas2303.pdf,Ylioppilas2202.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/34,Kollektivavtal för plåt- och industriisoleringsbranschen,Committee for Confirming the General Applicability of Collective Agreements,11.10.2018,34/2018,7.3.2025,30.11.2027,7.3.2025,Kollektivavtalet är allmänt bindande,Metalliteollisuudenharjoittajajain Liitto - MTHL:n Työnantajat ry,Industrifacket rf,PeltierisStmRuotsi2503.pdf,PeltierisStmRuotsi2302.pdf,PeltierisStmRuotsi2201.pdf,,,,,
2018,General Applicability Agreement,https://www.finlex.fi/en/authorities/collective-agreements/2018/36,Kollektivavtal för VVS-sektorn inom husteknikbranschen,Committee for Confirming the General Applicability of Collective Agreements,23.11.2018,36/2018,1.3.2025,29.2.2028,16.5.2025,Kollektivavtalet är allmänt bindande,LVI-Tekniset Urakoitsijat LVI-TU ry,Byggnadsförbundet rf,TaloLviStmRuotsi2503.pdf,TaloLviStmRuotsi2303.pdf,TaloLviStmRuotsi2203.pdf,,,,,
