id_accordo,ccnl_code,titolo,txt_path,char_count,garbage_ratio,quality_bin
17777,E054,CCNL 18 aprile 1972  per i lavoratori addetti alle aziende esercenti l'attività lattiero-casearia,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 10 gennaio 1961 per i lavoratori addetti alle aziende esercenti l'attività lattiero-casearia (E054).txt,195994,0.0158,clean
18646,G093,CCNL per gli impiegati ed operai della società RAI - Radiotelevisione italiana,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL per gli impiegati ed operai della società RAI - Radiotelevisione italiana (G093).txt,107047,0.0033,clean
17864,E055,"CCNL 22 marzo 1972  per i dipendenti da aziende vinicole ed acetiere e per i dipendenti da aziende produttrici di Vermouth, Aperitivi a base di Vino, Marsala, Spumanei, Liquori, Acquaviti e Sciroppi","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 24 novembre 1963 per il rinnovo del CCNL per le aziende produttrici di Vermouth, Aperitivi, Liquori, Sciroppi e Spumanti (E055).txt",3224,0.0078,clean
17864,E056,"CCNL 22 marzo 1972  per i dipendenti da aziende vinicole ed acetiere e per i dipendenti da aziende produttrici di Vermouth, Aperitivi a base di Vino, Marsala, Spumanei, Liquori, Acquaviti e Sciroppi",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 1 febbraio 1954 per i lavoratori di aziende vinicole pure ed acetiere (E056).txt,107153,0.0074,clean
17210,V012,CCNL dirigenti aziende industriali (1973) - Supplemento al volume del 1970,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo per il rinnovo del CCNL 25 novembre 2009 per i dirigenti di aziende produttrici di beni e servizi (V012).txt,17080,0.0039,clean
17761,E064,CCNL 12 febbraio 1972 per i dipendenti da AZIENDE MUNICIPALIZZATE CENTRALI DEL LATTE ,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Nazionale 12 marzo 1964 per il rinnovo del CCNL 23 giugno 1961 per i dipendenti da AZIENDE MUNICIPALIZZATE CENTRALI DEL LATTE (E064).txt,23043,0.003,clean
17760,E050,CCNL 10 dicembre 1971 per i lavoratori addetti all'industria alimentare dolciaria,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 14 settembre 1963 per il rinnovo del CCNL per l'industria dolciaria (E050).txt,42758,0.0071,clean
20507,H021,CCNL di modifica del CCNL 30 dicembre 1968 per i dirigenti di aziende commerciali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo Ponte CCNL 27 maggio 2004 per i dirigenti di aziende del terziario della distribuzione e dei servizi (H021).txt,2126,0.0141,clean
18060,E067,CCNL del 3 dicembre 1971 per i lavoratori delle aziende esercenti l'industria delle conserve animali,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 16 luglio 1952 per il rinnovo del contratto nazionale normativo di lavoro per i lavoratori delle aziende esercenti l'industria delle conserve  (E067).txt,30328,0.0064,clean
18472,B131,CCNL 3 dicembre 1971 per le aziende che effettuano le seconde lavorazioni del vetro ed i lavoratori da esse dipendenti,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 18 maggio 1962 per le aziende che effettuano le seconde lavorazioni del vetro ed i lavoratori da esse dipendenti (B131).txt,188901,0.005,clean
17664,A021,CCNL 1 dicembre 1971 per gli impiegati e tecnici agricoli,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/AGRICOLTURA Impiegati (A021).txt,116832,0.0,clean
17417,J331,CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da BANCHE,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da BANCHE (J331).txt,237749,0.0075,clean
17419,J331,CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da PRIVATI ESATTORI,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da BANCHE (J331).txt,237749,0.0075,clean
17418,J331,"CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da CASSE DI RISPARMIO, ENTI EQUIPARATI E MONTI DI CREDITO SU PEGNO",/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/CCNL 29 luglio 1971 per il personale delle esattorie-tesorerie e ricevitorie provinciali gestite da BANCHE (J331).txt,237749,0.0075,clean
17899,G021,CCNL  22 luglio 1971 per i dipendenti delle aziende cartotecniche e della trasformazione della carta e del cartone,/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 17 maggio 1955 per l'attuazione nell'industria della trasformazione della carta e del cartone dell'accordo interconfederale 12 giugno 1954 per (G021).txt,46973,0.0077,clean
17897,G020,"CCNL  8 luglio 1971 per le aziende esercenti l'industria della carta e cartone, della cellulosa, pasta legno, fibra vulcanizzata e presfibra","/Users/lukeschreiber/Downloads/Italy/italy_scraping/italy_txts/Accordo 8 aprile 1954 per le aziende esercenti l'industria della carta e cartone, della cellulosa, pastalegno, fibra vulcanizzata e presfibra (G020).txt",4585,0.0057,clean
